volcanonumber,volcanoname,stratovolcano,caldera,dome,shield,submarine,complex,lava_cone,pyroclastic_cone,compound,maar,explosion_crater,fissure_vent,subduction,rift,intraplate,continental,ctcrust1,elevation,volume,eruptionssince1960,avgrepose,mafic,intermediate,felsic,summit_crater,h_bw,ellip,meanslope
342080,acatenango,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,32.0,3976.0,17.8,1.0,16614.0,0.0,1.0,0.0,0,0.151,2.23,20.7
283170,adatarayama,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,28.96,1728.0,32.0,1.0,35110.0,0.0,1.0,0.0,0,0.07,1.5,13.2
264020,agung,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,29.74,2997.0,40.3,2.0,31766.5,0.0,1.0,0.0,1,0.192,1.27,22.1
284141,ahyi,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,7.13,-75.0,,2.0,4747.0,1.0,1.0,0.0,0,,,
282080,aira,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,30.0,1117.0,,1.0,215.0,0.0,1.0,1.0,0,,,
300125,akademia nauk,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,34.0,1180.0,,1.0,,0.0,1.0,0.0,0,,,
285070,akan,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,29.0,1499.0,,11.0,1624.636364,1.0,1.0,1.0,0,,,
283230,akita-komagatake,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,30.0,1637.0,10.6,1.0,13935.0,1.0,1.0,0.0,0,0.093,1.52,13.9
283260,akita-yakeyama,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,30.0,1366.0,8.6,2.0,7327.5,0.0,1.0,0.0,0,0.071,1.52,11.4
311320,akutan,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28.38,1303.0,12.9,16.0,835.125,1.0,1.0,0.0,1,0.107,1.53,18.3
290390,alaid,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,27.69,2285.0,81.0,9.0,3352.555556,1.0,1.0,0.0,0,0.167,1.33,16.3
353040,alcedo,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,15.65,1130.0,213.0,1.0,14766.0,1.0,0.0,0.0,1,0.04,1.31,5.4
221060,alu-dalafilla,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,15.9,578.0,,1.0,,1.0,1.0,1.0,0,,,
257030,ambae,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,10.76,1496.0,209.0,4.0,13447.25,1.0,0.0,0.0,1,0.064,2.7,10.0
266020,ambang,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,28.76,1795.0,12.9,1.0,58793.0,0.0,1.0,0.0,0,0.084,2.19,19.0
257040,ambrym,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,10.69,1334.0,225.0,24.0,330.9166667,1.0,1.0,0.0,1,0.041,2.2,7.3
311190,amukta,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24.35,1066.0,1.57,4.0,10880.75,0.0,1.0,0.0,0,0.206,1.4,22.8
284200,anatahan,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.95,790.0,8.6,4.0,330.6666667,1.0,1.0,0.0,1,0.116,2.15,21.6
221126,ardoukoba,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,20.46,298.0,,1.0,,1.0,1.0,1.0,0,,,
345033,arenal,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,40.31,1670.0,3.1,1.0,16716.0,1.0,1.0,0.0,0,0.209,1.61,20.1
283110,asamayama,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,30.72,2568.0,16.5,13.0,1647.615385,0.0,1.0,0.0,0,0.132,1.34,18.2
373060,askja,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22.6,1080.0,,1.0,8347.0,1.0,0.0,0.0,0,,,
282110,asosan,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,35.64,1592.0,,29.0,452.1724138,1.0,1.0,1.0,0,,,
313010,augustine,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,38.16,1252.0,7.8,5.0,4946.4,0.0,1.0,0.0,0,0.162,1.29,14.3
300100,avachinsky,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,40.67,2717.0,75.0,2.0,10329.5,1.0,1.0,0.0,0,0.129,1.36,16.9
267040,awu,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21.2,1318.0,22.6,3.0,8800.666667,1.0,1.0,0.0,1,0.118,1.27,19.0
331021,axial seamount,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6.95,-1410.0,,4.0,32697.5,1.0,0.0,0.0,0,,,
357060,"azul, cerro",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,54.33,3788.0,4.2,1.0,6690.0,0.0,1.0,0.0,0,0.211,1.58,23.6
353060,"azul, cerro",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,15.65,1640.0,161.0,3.0,5921.666667,1.0,0.0,0.0,1,0.075,1.33,9.1
283180,azumayama,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,28.96,1949.0,39.0,1.0,10153.0,1.0,1.0,0.0,0,0.055,1.38,13.9
255020,bagana,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,28.91,1855.0,5.4,8.0,515.5,0.0,1.0,0.0,0,0.177,1.37,20.2
251010,bam,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,22.96,685.0,1.43,1.0,180.0,0.0,1.0,0.0,0,0.201,1.28,21.1
265090,banda api,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10.76,596.0,,1.0,31768.0,1.0,1.0,0.0,0,,,
373030,bardarbunga,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,35.76,2000.0,,1.0,37938.0,1.0,0.0,1.0,0,,,
260010,barren island,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,20.7,354.0,1.07,9.0,7194.888889,1.0,1.0,0.0,1,0.102,1.28,19.9
264010,batur,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,29.74,1717.0,,11.0,2346.0,1.0,1.0,0.0,0,,,
300250,bezymianny,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,32.67,2882.0,6.1,46.0,235.7826087,0.0,1.0,0.0,0,0.157,1.41,19.8
311300,bogoslof,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,25.28,150.0,,2.0,15539.5,1.0,1.0,0.0,0,,,
234000,boomerang seamount,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6.98,-650.0,,1.0,,1.0,0.0,0.0,0,,,
390080,bristol island,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.15,1100.0,,1.0,22011.0,1.0,1.0,0.0,0,,,
273010,bulusan,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,26.82,1535.0,19.8,13.0,2238.230769,0.0,1.0,0.0,0,0.133,1.59,17.4
358020,calbuco,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,36.0,1974.0,38.0,3.0,8541.333333,0.0,1.0,0.0,0,0.114,1.31,16.7
